#,Title,Scope,Type,Reason,Status,Origin,ROM,Prime Totals,Commitment Totals,RFQs,Commitment COs,Prime PCOs
18,Contingency: Add Sound Mat to all Unit Carpeted Areas,Out of Scope,Owner Contingency,Owner request,Closed,,$0.00 ,$0.00 ,"$10,200.00 ",,1,PCO #CONT-004
17,Contingency: Solid Surface Tops 3cm,Out of Scope,Owner Contingency,Owner request,Closed,,$0.00 ,$0.00 ,"$19,396.95 ",,1,PCO #CONT-008
16,OHD Motor Change,In Scope,FP Contingency/Buyout,Fp construction,Closed,,"$6,000.00 ",$0.00 ,"$6,000.00 ",,1,
15,ASI 005,Out of Scope,Owner Contingency,Owner request,Closed,,"$76,505.98 ","$79,948.76 ","$73,535.98 ",,8,PCO #007
14,Contigency: Electrical Pad Changes,Out of Scope,Owner Contingency,Ahj,Closed,,$0.00 ,$0.00 ,"$1,781.87 ",,1,PCO #CONT-003
13,Contingency: 3hr Rated Expansion System ,Out of Scope,Owner Contingency,Allowance,Closed,,$0.00 ,$0.00 ,$0.00 ,,,PCO #CONT-002
12,ASI 004,Out of Scope,Owner Contingency,Arch/eng,Closed,,"$3,200.00 ","$3,344.00 ","$3,200.00 ",,1,PCO #006
11,ASI 003,Out of Scope,Owner Contingency,Arch/eng,Closed,,"$4,181.86 ","$4,370.04 ","$4,181.86 ",,3,PCO #005
10,Elevator Pit Ladder,In Scope,Original Budget,Fp construction,Void,,"$4,400.00 ",$0.00 ,$0.00 ,,1,
9,Radon Mitigation System,In Scope,Original Budget,Fp construction,Closed,,"$1,850.00 ",$0.00 ,"$1,850.00 ",,1,
8,Supply and Install Aluminum Railings,In Scope,Original Budget,Fp construction,Closed,,"$125,000.00 ",$0.00 ,"$125,000.00 ",,1,
7,Irrigation System Repair,Out of Scope,Owner Contingency,Fp construction,Closed,,$0.00 ,$0.00 ,"$4,387.00 ",,1,PCO #CONT-001
6,ASI 002 - Vertical Grab Bars at Units,Out of Scope,Owner Contingency,Arch/eng,Closed,,"$11,245.00 ","$11,751.03 ",$0.00 ,,,PCO #013
5,Provide and Install Poles and Power for Site Security,Out of Scope,Owner Contingency,Owner request,Closed,,"$21,285.00 ","$22,242.83 ","$21,285.00 ",,1,PCO #004
4,RFI 06 PVC Waterpipe ILO Ductile Iron Pipe,In Scope,Original Budget,Fp construction,Void,,"($7,500.00)",$0.00 ,"($7,500.00)",,1,
3,Fire Pump Credit,In Scope,Allowance,Allowance,Closed,,"($54,500.00)","($54,500.00)","($12,000.00)",,1,PCO #002
2,Marketing Office Finishes,Out of Scope,Owner Contingency,Owner request,Closed,,"$3,321.24 ","$3,470.70 ","$3,321.24 ",,3,PCO #016
1,OP3 CD Utility Revisions Allowance Reconcile,In Scope,Allowance,Allowance,Closed,,"($3,140.00)","($3,140.00)",$0.00 ,,,PCO #001
